trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_2012,tta_accuracy_2012,delta_accuracy_2012
c00,-0.25876010781671155,0.0,-0.25876010781671155,0,0.0001,0.0,0.47079964061096136,0.21203953279424978,-0.25876010781671155
c01,-0.11680143755615452,0.0,-0.11680143755615452,0,0.0001,0.25,0.47079964061096136,0.35399820305480684,-0.11680143755615452
c02,-0.08805031446540879,0.0,-0.08805031446540879,0,0.0001,0.5,0.47079964061096136,0.38274932614555257,-0.08805031446540879
c03,-0.29829290206648695,0.0,-0.29829290206648695,0,0.0003,0.0,0.47079964061096136,0.1725067385444744,-0.29829290206648695
c04,-0.10152740341419586,0.0,-0.10152740341419586,0,0.0003,0.25,0.47079964061096136,0.3692722371967655,-0.10152740341419586
c05,-0.16531895777178796,0.0,-0.16531895777178796,0,0.0003,0.5,0.47079964061096136,0.3054806828391734,-0.16531895777178796
c06,-0.32884097035040427,0.0,-0.32884097035040427,0,0.0005,0.0,0.47079964061096136,0.14195867026055706,-0.32884097035040427
c07,-0.1976639712488769,0.0,-0.1976639712488769,0,0.0005,0.25,0.47079964061096136,0.27313566936208444,-0.1976639712488769
c08,-0.15363881401617252,0.0,-0.15363881401617252,0,0.0005,0.5,0.47079964061096136,0.31716082659478884,-0.15363881401617252
c09,-0.3333333333333333,0.0,-0.3333333333333333,0,0.001,0.0,0.47079964061096136,0.13746630727762804,-0.3333333333333333
c10,-0.2650494159928122,0.0,-0.2650494159928122,0,0.001,0.25,0.47079964061096136,0.20575022461814915,-0.2650494159928122
c11,-0.2560646900269542,0.0,-0.2560646900269542,0,0.001,0.5,0.47079964061096136,0.21473495058400718,-0.2560646900269542
