trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_2012,tta_accuracy_2012,delta_accuracy_2012
e00,0.007187780772686447,0.0,0.007187780772686447,1,0.0001,0.0,0.47079964061096136,0.4779874213836478,0.007187780772686447
e01,0.002695417789757404,0.0,0.002695417789757404,1,0.0001,0.25,0.47079964061096136,0.47349505840071876,0.002695417789757404
e02,0.002695417789757404,0.0,0.002695417789757404,1,0.0001,0.5,0.47079964061096136,0.47349505840071876,0.002695417789757404
e03,0.01796945193171612,0.0,0.01796945193171612,1,0.0003,0.0,0.47079964061096136,0.4887690925426775,0.01796945193171612
e04,0.010781671159029671,0.0,0.010781671159029671,1,0.0003,0.25,0.47079964061096136,0.481581311769991,0.010781671159029671
e05,0.0062893081761006275,0.0,0.0062893081761006275,1,0.0003,0.5,0.47079964061096136,0.477088948787062,0.0062893081761006275
e06,0.013477088948787075,0.0,0.013477088948787075,1,0.0005,0.0,0.47079964061096136,0.48427672955974843,0.013477088948787075
e07,0.008984725965858031,0.0,0.008984725965858031,1,0.0005,0.25,0.47079964061096136,0.4797843665768194,0.008984725965858031
e08,0.008086253369272267,0.0,0.008086253369272267,1,0.0005,0.5,0.47079964061096136,0.4788858939802336,0.008086253369272267
e09,-0.05031446540880502,0.0,-0.05031446540880502,0,0.001,0.0,0.47079964061096136,0.42048517520215634,-0.05031446540880502
e10,-0.02515723270440251,0.0,-0.02515723270440251,0,0.001,0.25,0.47079964061096136,0.44564240790655885,-0.02515723270440251
e11,-0.008984725965858031,0.0,-0.008984725965858031,0,0.001,0.5,0.47079964061096136,0.4618149146451033,-0.008984725965858031
