trial_id,mean_validation_accuracy,param_lr,param_temporal_lr,param_weight_decay,param_shared_hidden_dim,val_accuracy_2002,val_accuracy_2003,val_accuracy_2004,val_accuracy_2005,val_accuracy_2006,val_accuracy_2007,val_accuracy_2008,val_accuracy_2009,val_accuracy_2010,val_accuracy_2011
m00,0.3928384827320858,0.0001,3e-05,0.0,512,0.3416666666666667,0.3433734939759036,0.35333333333333333,0.3695652173913043,0.285,0.3142857142857143,0.3767123287671233,0.4462616822429907,0.5387713997985901,0.5594149908592322
m01,0.3968157802375529,0.0001,0.0001,0.0001,512,0.35833333333333334,0.37349397590361444,0.3933333333333333,0.391304347826087,0.265,0.3142857142857143,0.363013698630137,0.441588785046729,0.5166163141993958,0.5511882998171846
m02,0.3928384827320858,0.0003,3e-05,0.0,512,0.3416666666666667,0.3433734939759036,0.35333333333333333,0.3695652173913043,0.285,0.3142857142857143,0.3767123287671233,0.4462616822429907,0.5387713997985901,0.5594149908592322
m03,0.3968157802375529,0.0003,0.0001,0.0,512,0.35833333333333334,0.37349397590361444,0.3933333333333333,0.391304347826087,0.265,0.3142857142857143,0.363013698630137,0.441588785046729,0.5166163141993958,0.5511882998171846
m04,0.3968157802375529,0.0003,0.0001,0.0001,512,0.35833333333333334,0.37349397590361444,0.3933333333333333,0.391304347826087,0.265,0.3142857142857143,0.363013698630137,0.441588785046729,0.5166163141993958,0.5511882998171846
m05,0.36665233046161716,0.0003,0.0003,0.0001,512,0.2833333333333333,0.3192771084337349,0.3,0.3695652173913043,0.28,0.2857142857142857,0.3561643835616438,0.4088785046728972,0.5105740181268882,0.553016453382084
m06,0.3968157802375529,0.0006,0.0001,0.0,512,0.35833333333333334,0.37349397590361444,0.3933333333333333,0.391304347826087,0.265,0.3142857142857143,0.363013698630137,0.441588785046729,0.5166163141993958,0.5511882998171846
m07,0.36665233046161716,0.0006,0.0003,0.0001,512,0.2833333333333333,0.3192771084337349,0.3,0.3695652173913043,0.28,0.2857142857142857,0.3561643835616438,0.4088785046728972,0.5105740181268882,0.553016453382084
m08,0.3968157802375529,0.001,0.0001,0.0,512,0.35833333333333334,0.37349397590361444,0.3933333333333333,0.391304347826087,0.265,0.3142857142857143,0.363013698630137,0.441588785046729,0.5166163141993958,0.5511882998171846
m09,0.36665233046161716,0.001,0.0003,0.0001,512,0.2833333333333333,0.3192771084337349,0.3,0.3695652173913043,0.28,0.2857142857142857,0.3561643835616438,0.4088785046728972,0.5105740181268882,0.553016453382084
m10,0.40404884802798663,0.0003,0.0001,0.0001,1024,0.36666666666666664,0.3433734939759036,0.36,0.40217391304347827,0.31,0.3523809523809524,0.363013698630137,0.4369158878504673,0.5438066465256798,0.5621572212065814
m11,0.40404884802798663,0.0006,0.0001,0.0001,1024,0.36666666666666664,0.3433734939759036,0.36,0.40217391304347827,0.31,0.3523809523809524,0.363013698630137,0.4369158878504673,0.5438066465256798,0.5621572212065814
m12,0.39830966163815806,0.0003,0.0003,0.0001,1024,0.3333333333333333,0.3373493975903614,0.4,0.41304347826086957,0.285,0.3142857142857143,0.3698630136986301,0.4369158878504673,0.5156092648539778,0.5776965265082267
m13,0.40404884802798663,0.0001,0.0001,0.0001,1024,0.36666666666666664,0.3433734939759036,0.36,0.40217391304347827,0.31,0.3523809523809524,0.363013698630137,0.4369158878504673,0.5438066465256798,0.5621572212065814
m14,0.38323355306772044,0.0003,0.0001,0.0001,256,0.325,0.3433734939759036,0.35333333333333333,0.3641304347826087,0.3,0.29523809523809524,0.3561643835616438,0.42757009345794394,0.513595166163142,0.5539305301645339
