trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,inherited_methods.temporal_gradient_ema.learning_rate,inherited_methods.temporal_gradient_ema.normalized_aux_loss_threshold,frozen_accuracy_2012,tta_accuracy_2012,delta_accuracy_2012
tg00,-0.17070979335130276,0.0,-0.17070979335130276,0,0.0001,0.5,0.47079964061096136,0.3000898472596586,-0.17070979335130276
tg01,-0.13926325247079963,0.0,-0.13926325247079963,0,0.0001,0.5,0.47079964061096136,0.33153638814016173,-0.13926325247079963
tg02,-0.12219227313566933,0.0,-0.12219227313566933,0,0.0001,0.5,0.47079964061096136,0.34860736747529203,-0.12219227313566933
tg03,-0.1060197663971249,0.0,-0.1060197663971249,0,0.0001,0.5,0.47079964061096136,0.36477987421383645,-0.1060197663971249
tg04,-0.16172506738544473,0.0,-0.16172506738544473,0,0.0001,0.5,0.47079964061096136,0.3090745732255166,-0.16172506738544473
tg05,-0.14824797843665766,0.0,-0.14824797843665766,0,0.0001,0.5,0.47079964061096136,0.3225516621743037,-0.14824797843665766
tg06,-0.1383647798742138,0.0,-0.1383647798742138,0,0.0001,0.5,0.47079964061096136,0.33243486073674755,-0.1383647798742138
tg07,-0.11230907457322553,0.0,-0.11230907457322553,0,0.0001,0.5,0.47079964061096136,0.3584905660377358,-0.11230907457322553
tg08,-0.15633423180592992,0.0,-0.15633423180592992,0,0.0001,0.5,0.47079964061096136,0.31446540880503143,-0.15633423180592992
tg09,-0.13207547169811318,0.0,-0.13207547169811318,0,0.0001,0.5,0.47079964061096136,0.3387241689128482,-0.13207547169811318
tg10,-0.09883198562443846,0.0,-0.09883198562443846,0,0.0001,0.5,0.47079964061096136,0.3719676549865229,-0.09883198562443846
tg11,-0.09883198562443846,0.0,-0.09883198562443846,0,0.0001,0.5,0.47079964061096136,0.3719676549865229,-0.09883198562443846
