trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_batch_size,frozen_accuracy_2012,tta_accuracy_2012,delta_accuracy_2012
t00,-0.20395327942497754,0.0,-0.20395327942497754,0,0.0001,32,0.47079964061096136,0.2668463611859838,-0.20395327942497754
t01,-0.14285714285714285,0.0,-0.14285714285714285,0,0.0001,64,0.47079964061096136,0.3279424977538185,-0.14285714285714285
t02,-0.09793351302785264,0.0,-0.09793351302785264,0,0.0001,128,0.47079964061096136,0.3728661275831087,-0.09793351302785264
t03,-0.20395327942497754,0.0,-0.20395327942497754,0,0.0003,32,0.47079964061096136,0.2668463611859838,-0.20395327942497754
t04,-0.14285714285714285,0.0,-0.14285714285714285,0,0.0003,64,0.47079964061096136,0.3279424977538185,-0.14285714285714285
t05,-0.09793351302785264,0.0,-0.09793351302785264,0,0.0003,128,0.47079964061096136,0.3728661275831087,-0.09793351302785264
t06,-0.20125786163522014,0.0,-0.20125786163522014,0,0.001,32,0.47079964061096136,0.2695417789757412,-0.20125786163522014
t07,-0.14195867026055703,0.0,-0.14195867026055703,0,0.001,64,0.47079964061096136,0.3288409703504043,-0.14195867026055703
t08,-0.09703504043126682,0.0,-0.09703504043126682,0,0.001,128,0.47079964061096136,0.37376460017969454,-0.09703504043126682
t09,-0.19317160826594787,0.0,-0.19317160826594787,0,0.003,32,0.47079964061096136,0.2776280323450135,-0.19317160826594787
t10,-0.1383647798742138,0.0,-0.1383647798742138,0,0.003,64,0.47079964061096136,0.33243486073674755,-0.1383647798742138
t11,-0.09703504043126682,0.0,-0.09703504043126682,0,0.003,128,0.47079964061096136,0.37376460017969454,-0.09703504043126682
