trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
c00,-0.003805175038051778,0.0,-0.003805175038051778,0,0.0001,0.0,0.6385083713850838,0.634703196347032,-0.003805175038051778
c01,0.0015220700152206446,0.0,0.0015220700152206446,1,0.0001,0.25,0.6385083713850838,0.6400304414003044,0.0015220700152206446
c02,0.0015220700152206446,0.0,0.0015220700152206446,1,0.0001,0.5,0.6385083713850838,0.6400304414003044,0.0015220700152206446
c03,-0.03500761035007616,0.0,-0.03500761035007616,0,0.0003,0.0,0.6385083713850838,0.6035007610350076,-0.03500761035007616
c04,0.0060882800608828,0.0,0.0060882800608828,1,0.0003,0.25,0.6385083713850838,0.6445966514459666,0.0060882800608828
c05,0.006849315068493067,0.0,0.006849315068493067,1,0.0003,0.5,0.6385083713850838,0.6453576864535768,0.006849315068493067
c06,-0.02207001522070018,0.0,-0.02207001522070018,0,0.0005,0.0,0.6385083713850838,0.6164383561643836,-0.02207001522070018
c07,0.004566210045662045,0.0,0.004566210045662045,1,0.0005,0.25,0.6385083713850838,0.6430745814307458,0.004566210045662045
c08,0.007610350076103445,0.0,0.007610350076103445,1,0.0005,0.5,0.6385083713850838,0.6461187214611872,0.007610350076103445
c09,-0.029680365296803735,0.0,-0.029680365296803735,0,0.001,0.0,0.6385083713850838,0.60882800608828,-0.029680365296803735
c10,0.0060882800608828,0.0,0.0060882800608828,1,0.001,0.25,0.6385083713850838,0.6445966514459666,0.0060882800608828
c11,0.015220700152207,0.0,0.015220700152207,1,0.001,0.5,0.6385083713850838,0.6537290715372908,0.015220700152207
