trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,inherited_methods.temporal_gradient_ema.learning_rate,inherited_methods.temporal_gradient_ema.normalized_aux_loss_threshold,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
tg00,-0.006849315068493178,0.0,-0.006849315068493178,0,0.0001,0.5,0.649923896499239,0.6430745814307458,-0.006849315068493178
tg01,-0.007610350076103556,0.0,-0.007610350076103556,0,0.0001,0.5,0.649923896499239,0.6423135464231354,-0.007610350076103556
tg02,-0.0060882800608828,0.0,-0.0060882800608828,0,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
tg03,-0.006849315068493178,0.0,-0.006849315068493178,0,0.0001,0.5,0.649923896499239,0.6430745814307458,-0.006849315068493178
tg04,-0.0030441400304414,0.0,-0.0030441400304414,0,0.0001,0.5,0.649923896499239,0.6468797564687976,-0.0030441400304414
tg05,-0.006849315068493178,0.0,-0.006849315068493178,0,0.0001,0.5,0.649923896499239,0.6430745814307458,-0.006849315068493178
tg06,-0.003805175038051778,0.0,-0.003805175038051778,0,0.0001,0.5,0.649923896499239,0.6461187214611872,-0.003805175038051778
tg07,-0.0060882800608828,0.0,-0.0060882800608828,0,0.0001,0.5,0.649923896499239,0.6438356164383562,-0.0060882800608828
tg08,-0.0053272450532724225,0.0,-0.0053272450532724225,0,0.0001,0.5,0.649923896499239,0.6445966514459666,-0.0053272450532724225
tg09,-0.0022831050228310223,0.0,-0.0022831050228310223,0,0.0001,0.5,0.649923896499239,0.647640791476408,-0.0022831050228310223
tg10,-0.0022831050228310223,0.0,-0.0022831050228310223,0,0.0001,0.5,0.649923896499239,0.647640791476408,-0.0022831050228310223
tg11,-0.0022831050228310223,0.0,-0.0022831050228310223,0,0.0001,0.5,0.649923896499239,0.647640791476408,-0.0022831050228310223
