trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_batch_size,frozen_accuracy_2015,tta_accuracy_2015,delta_accuracy_2015
t00,-0.047945205479452024,0.0,-0.047945205479452024,0,0.0001,32,0.649923896499239,0.601978691019787,-0.047945205479452024
t01,-0.044901065449010624,0.0,-0.044901065449010624,0,0.0001,64,0.649923896499239,0.6050228310502284,-0.044901065449010624
t02,-0.045662100456621,0.0,-0.045662100456621,0,0.0001,128,0.649923896499239,0.604261796042618,-0.045662100456621
t03,-0.044901065449010624,0.0,-0.044901065449010624,0,0.0003,32,0.649923896499239,0.6050228310502284,-0.044901065449010624
t04,-0.04414003044140036,0.0,-0.04414003044140036,0,0.0003,64,0.649923896499239,0.6057838660578386,-0.04414003044140036
t05,-0.045662100456621,0.0,-0.045662100456621,0,0.0003,128,0.649923896499239,0.604261796042618,-0.045662100456621
t06,-0.044901065449010624,0.0,-0.044901065449010624,0,0.001,32,0.649923896499239,0.6050228310502284,-0.044901065449010624
t07,-0.04414003044140036,0.0,-0.04414003044140036,0,0.001,64,0.649923896499239,0.6057838660578386,-0.04414003044140036
t08,-0.04337899543378998,0.0,-0.04337899543378998,0,0.001,128,0.649923896499239,0.606544901065449,-0.04337899543378998
t09,-0.04642313546423138,0.0,-0.04642313546423138,0,0.003,32,0.649923896499239,0.6035007610350076,-0.04642313546423138
t10,-0.04033485540334858,0.0,-0.04033485540334858,0,0.003,64,0.649923896499239,0.6095890410958904,-0.04033485540334858
t11,-0.0395738203957382,0.0,-0.0395738203957382,0,0.003,128,0.649923896499239,0.6103500761035008,-0.0395738203957382
