year,method,accuracy,n_samples
1971,supervised_reference,0.925,40
1972,supervised_reference,0.9375,96
1973,supervised_reference,0.9047619047619048,63
1974,supervised_reference,0.8636363636363636,154
1975,supervised_reference,0.8658536585365854,164
1976,supervised_reference,0.7222222222222222,72
1977,supervised_reference,0.9357798165137615,109
1978,supervised_reference,0.851063829787234,47
1979,supervised_reference,0.8671875,128
1980,supervised_reference,0.9256198347107438,121
1981,supervised_reference,0.9019607843137255,51
1982,supervised_reference,0.8888888888888888,99
1983,supervised_reference,0.9012345679012346,81
1984,supervised_reference,0.9333333333333333,240
1985,supervised_reference,0.92,100
1986,supervised_reference,0.8545454545454545,55
1987,supervised_reference,0.9658119658119658,117
1988,supervised_reference,0.9722222222222222,72
1989,supervised_reference,0.9743589743589743,156
1990,supervised_reference,0.968944099378882,161
1991,supervised_reference,0.9534883720930233,86
1992,supervised_reference,0.9473684210526315,95
1993,supervised_reference,0.9555555555555556,45
1994,supervised_reference,0.9719626168224299,107
1995,supervised_reference,0.953125,128
1996,supervised_reference,0.9642857142857143,84
1997,supervised_reference,0.9607843137254902,102
1998,supervised_reference,0.968503937007874,127
1999,supervised_reference,0.9772727272727273,132
2000,supervised_reference,0.9891304347826086,92
2001,supervised_reference,0.9523809523809523,126
2002,supervised_reference,0.9583333333333334,144
2003,supervised_reference,0.927710843373494,83
2004,supervised_reference,0.9411764705882353,102
2005,supervised_reference,0.9662921348314607,89
2006,supervised_reference,0.8571428571428571,14
2007,supervised_reference,0.9591836734693877,49
2008,supervised_reference,0.9838709677419355,62
2009,supervised_reference,0.9702970297029703,101
2010,supervised_reference,0.9619047619047619,105
2011,supervised_reference,0.9444444444444444,18
2012,supervised_reference,0.8846153846153846,26
2013,supervised_reference,0.98989898989899,99
