year,method,accuracy,n_samples
1971,metadata_cumulative_annual_reset,0.875,40
1972,metadata_cumulative_annual_reset,0.8854166666666666,96
1973,metadata_cumulative_annual_reset,0.8095238095238095,63
1974,metadata_cumulative_annual_reset,0.9155844155844156,154
1975,metadata_cumulative_annual_reset,0.8109756097560976,164
1976,metadata_cumulative_annual_reset,0.6111111111111112,72
1977,metadata_cumulative_annual_reset,0.6238532110091743,109
1978,metadata_cumulative_annual_reset,0.7872340425531915,47
1979,metadata_cumulative_annual_reset,0.9453125,128
1980,metadata_cumulative_annual_reset,0.9504132231404959,121
1981,metadata_cumulative_annual_reset,0.8823529411764706,51
1982,metadata_cumulative_annual_reset,0.8282828282828283,99
1983,metadata_cumulative_annual_reset,0.8148148148148148,81
1984,metadata_cumulative_annual_reset,0.6458333333333334,240
1985,metadata_cumulative_annual_reset,0.92,100
1986,metadata_cumulative_annual_reset,0.8181818181818182,55
1987,metadata_cumulative_annual_reset,0.7521367521367521,117
1988,metadata_cumulative_annual_reset,0.9166666666666666,72
1989,metadata_cumulative_annual_reset,0.8269230769230769,156
1990,metadata_cumulative_annual_reset,0.9813664596273292,161
1991,metadata_cumulative_annual_reset,0.9534883720930233,86
1992,metadata_cumulative_annual_reset,0.9473684210526315,95
1993,metadata_cumulative_annual_reset,0.9555555555555556,45
1994,metadata_cumulative_annual_reset,0.8598130841121495,107
1995,metadata_cumulative_annual_reset,0.9375,128
1996,metadata_cumulative_annual_reset,0.9047619047619048,84
1997,metadata_cumulative_annual_reset,0.9607843137254902,102
1998,metadata_cumulative_annual_reset,0.937007874015748,127
1999,metadata_cumulative_annual_reset,0.9015151515151515,132
2000,metadata_cumulative_annual_reset,0.8804347826086957,92
2001,metadata_cumulative_annual_reset,0.9920634920634921,126
2002,metadata_cumulative_annual_reset,0.9791666666666666,144
2003,metadata_cumulative_annual_reset,0.9036144578313253,83
2004,metadata_cumulative_annual_reset,0.9411764705882353,102
2005,metadata_cumulative_annual_reset,0.9101123595505618,89
2006,metadata_cumulative_annual_reset,0.8571428571428571,14
2007,metadata_cumulative_annual_reset,0.9591836734693877,49
2008,metadata_cumulative_annual_reset,0.9516129032258065,62
2009,metadata_cumulative_annual_reset,0.9108910891089109,101
2010,metadata_cumulative_annual_reset,0.9333333333333333,105
2011,metadata_cumulative_annual_reset,1.0,18
2012,metadata_cumulative_annual_reset,0.8846153846153846,26
2013,metadata_cumulative_annual_reset,0.9292929292929293,99
