year,method,accuracy,n_samples
1971,temporal_gradient_ema,0.875,40
1972,temporal_gradient_ema,0.8645833333333334,96
1973,temporal_gradient_ema,0.873015873015873,63
1974,temporal_gradient_ema,0.8961038961038961,154
1975,temporal_gradient_ema,0.8292682926829268,164
1976,temporal_gradient_ema,0.7222222222222222,72
1977,temporal_gradient_ema,0.6146788990825688,109
1978,temporal_gradient_ema,0.7446808510638298,47
1979,temporal_gradient_ema,0.75,128
1980,temporal_gradient_ema,0.9173553719008265,121
1981,temporal_gradient_ema,0.8235294117647058,51
1982,temporal_gradient_ema,0.8383838383838383,99
1983,temporal_gradient_ema,0.8148148148148148,81
1984,temporal_gradient_ema,0.825,240
1985,temporal_gradient_ema,0.8,100
1986,temporal_gradient_ema,0.6545454545454545,55
1987,temporal_gradient_ema,0.7264957264957265,117
1988,temporal_gradient_ema,0.8611111111111112,72
1989,temporal_gradient_ema,0.8653846153846154,156
1990,temporal_gradient_ema,0.9937888198757764,161
1991,temporal_gradient_ema,0.7790697674418605,86
1992,temporal_gradient_ema,0.8,95
1993,temporal_gradient_ema,0.9555555555555556,45
1994,temporal_gradient_ema,0.8878504672897196,107
1995,temporal_gradient_ema,0.9140625,128
1996,temporal_gradient_ema,0.9166666666666666,84
1997,temporal_gradient_ema,0.6764705882352942,102
1998,temporal_gradient_ema,0.6062992125984252,127
1999,temporal_gradient_ema,0.8712121212121212,132
2000,temporal_gradient_ema,0.9565217391304348,92
2001,temporal_gradient_ema,0.9126984126984127,126
2002,temporal_gradient_ema,0.9722222222222222,144
2003,temporal_gradient_ema,0.927710843373494,83
2004,temporal_gradient_ema,0.8529411764705882,102
2005,temporal_gradient_ema,0.8651685393258427,89
2006,temporal_gradient_ema,0.7857142857142857,14
2007,temporal_gradient_ema,0.9591836734693877,49
2008,temporal_gradient_ema,0.9516129032258065,62
2009,temporal_gradient_ema,0.8811881188118812,101
2010,temporal_gradient_ema,0.49523809523809526,105
2011,temporal_gradient_ema,0.3888888888888889,18
2012,temporal_gradient_ema,0.6923076923076923,26
2013,temporal_gradient_ema,0.9494949494949495,99
