trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_normalized_aux_loss_threshold,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
c00,-0.06024096385542166,0.0,-0.06024096385542166,0,0.0001,0.0,0.9518072289156626,0.891566265060241,-0.06024096385542166
c01,-0.02409638554216864,0.0,-0.02409638554216864,0,0.0001,0.25,0.9518072289156626,0.927710843373494,-0.02409638554216864
c02,0.0,0.0,0.0,0,0.0001,0.5,0.9518072289156626,0.9518072289156626,0.0
c03,-0.4578313253012048,0.0,-0.4578313253012048,0,0.0003,0.0,0.9518072289156626,0.4939759036144578,-0.4578313253012048
c04,-0.1686746987951807,0.0,-0.1686746987951807,0,0.0003,0.25,0.9518072289156626,0.7831325301204819,-0.1686746987951807
c05,-0.18072289156626498,0.0,-0.18072289156626498,0,0.0003,0.5,0.9518072289156626,0.7710843373493976,-0.18072289156626498
c06,-0.5421686746987951,0.0,-0.5421686746987951,0,0.0005,0.0,0.9518072289156626,0.40963855421686746,-0.5421686746987951
c07,-0.4939759036144578,0.0,-0.4939759036144578,0,0.0005,0.25,0.9518072289156626,0.4578313253012048,-0.4939759036144578
c08,-0.4337349397590361,0.0,-0.4337349397590361,0,0.0005,0.5,0.9518072289156626,0.5180722891566265,-0.4337349397590361
c09,-0.27710843373493976,0.0,-0.27710843373493976,0,0.001,0.0,0.9518072289156626,0.6746987951807228,-0.27710843373493976
c10,-0.4457831325301205,0.0,-0.4457831325301205,0,0.001,0.25,0.9518072289156626,0.5060240963855421,-0.4457831325301205
c11,-0.5180722891566265,0.0,-0.5180722891566265,0,0.001,0.5,0.9518072289156626,0.43373493975903615,-0.5180722891566265
