trial_id,mean_delta_accuracy,std_delta_accuracy,worst_delta_accuracy,n_improved_years,param_lr,param_batch_size,frozen_accuracy_1970,tta_accuracy_1970,delta_accuracy_1970
t00,-0.2650602409638554,0.0,-0.2650602409638554,0,0.0001,32,0.9518072289156626,0.6867469879518072,-0.2650602409638554
t01,-0.10843373493975894,0.0,-0.10843373493975894,0,0.0001,64,0.9518072289156626,0.8433734939759037,-0.10843373493975894
t02,0.024096385542168752,0.0,0.024096385542168752,1,0.0001,128,0.9518072289156626,0.9759036144578314,0.024096385542168752
t03,-0.2650602409638554,0.0,-0.2650602409638554,0,0.0003,32,0.9518072289156626,0.6867469879518072,-0.2650602409638554
t04,-0.10843373493975894,0.0,-0.10843373493975894,0,0.0003,64,0.9518072289156626,0.8433734939759037,-0.10843373493975894
t05,0.024096385542168752,0.0,0.024096385542168752,1,0.0003,128,0.9518072289156626,0.9759036144578314,0.024096385542168752
t06,-0.2650602409638554,0.0,-0.2650602409638554,0,0.001,32,0.9518072289156626,0.6867469879518072,-0.2650602409638554
t07,-0.10843373493975894,0.0,-0.10843373493975894,0,0.001,64,0.9518072289156626,0.8433734939759037,-0.10843373493975894
t08,0.024096385542168752,0.0,0.024096385542168752,1,0.001,128,0.9518072289156626,0.9759036144578314,0.024096385542168752
t09,-0.2650602409638554,0.0,-0.2650602409638554,0,0.003,32,0.9518072289156626,0.6867469879518072,-0.2650602409638554
t10,-0.10843373493975894,0.0,-0.10843373493975894,0,0.003,64,0.9518072289156626,0.8433734939759037,-0.10843373493975894
t11,0.024096385542168752,0.0,0.024096385542168752,1,0.003,128,0.9518072289156626,0.9759036144578314,0.024096385542168752
