year,method,accuracy,n_samples
1930,frozen,0.9354838709677419,31
1931,frozen,0.9722222222222222,36
1932,frozen,0.9387755102040817,49
1933,frozen,0.9454545454545454,55
1934,frozen,1.0,66
1935,frozen,0.9696969696969697,99
1936,frozen,0.9354838709677419,31
1937,frozen,0.8709677419354839,62
1938,frozen,1.0,81
1939,frozen,0.96875,32
1940,frozen,0.9876543209876543,81
1941,frozen,1.0,19
1942,frozen,0.9772727272727273,44
1943,frozen,0.9929078014184397,141
1944,frozen,1.0,172
1945,frozen,0.9820359281437125,167
1946,frozen,1.0,81
1947,frozen,0.9868421052631579,76
1948,frozen,0.9878048780487805,82
1949,frozen,0.9166666666666666,36
1950,frozen,0.9743589743589743,78
1951,frozen,1.0,45
1952,frozen,0.9090909090909091,66
1953,frozen,0.9814814814814815,54
1954,frozen,0.9487179487179487,117
1955,frozen,0.98,150
1956,frozen,0.9259259259259259,54
1957,frozen,1.0,47
1958,frozen,0.8909090909090909,55
1959,frozen,0.9405940594059405,101
1960,frozen,0.9333333333333333,60
1961,frozen,0.9864864864864865,74
1962,frozen,1.0,83
1963,frozen,1.0,52
1964,frozen,0.9682539682539683,63
1965,frozen,0.9770992366412213,131
1966,frozen,1.0,98
1967,frozen,0.9855769230769231,208
1968,frozen,0.9705882352941176,68
1969,frozen,0.9596774193548387,124
1970,frozen,0.9939759036144579,166
