year,method,accuracy,n_samples
1971,frozen,0.925,40
1972,frozen,0.8125,96
1973,frozen,0.7301587301587301,63
1974,frozen,0.7662337662337663,154
1975,frozen,0.6951219512195121,164
1976,frozen,0.75,72
1977,frozen,0.7614678899082569,109
1978,frozen,0.7872340425531915,47
1979,frozen,0.75,128
1980,frozen,0.6859504132231405,121
1981,frozen,0.8431372549019608,51
1982,frozen,0.6666666666666666,99
1983,frozen,0.7530864197530864,81
1984,frozen,0.8708333333333333,240
1985,frozen,0.82,100
1986,frozen,0.8,55
1987,frozen,0.8803418803418803,117
1988,frozen,0.8055555555555556,72
1989,frozen,0.8525641025641025,156
1990,frozen,0.8322981366459627,161
1991,frozen,0.8604651162790697,86
1992,frozen,0.8947368421052632,95
1993,frozen,0.8666666666666667,45
1994,frozen,0.8878504672897196,107
1995,frozen,0.953125,128
1996,frozen,0.8809523809523809,84
1997,frozen,0.9509803921568627,102
1998,frozen,0.937007874015748,127
1999,frozen,0.9242424242424242,132
2000,frozen,0.9021739130434783,92
2001,frozen,0.8968253968253969,126
2002,frozen,0.9444444444444444,144
2003,frozen,0.9036144578313253,83
2004,frozen,0.8235294117647058,102
2005,frozen,0.8539325842696629,89
2006,frozen,0.8571428571428571,14
2007,frozen,0.9387755102040817,49
2008,frozen,0.8870967741935484,62
2009,frozen,0.9405940594059405,101
2010,frozen,0.8857142857142857,105
2011,frozen,0.8888888888888888,18
2012,frozen,0.7692307692307693,26
2013,frozen,0.9191919191919192,99
