year,method,accuracy,n_samples
1971,metadata_cumulative,0.9,40
1972,metadata_cumulative,0.8958333333333334,96
1973,metadata_cumulative,0.8095238095238095,63
1974,metadata_cumulative,0.7532467532467533,154
1975,metadata_cumulative,0.8902439024390244,164
1976,metadata_cumulative,0.7222222222222222,72
1977,metadata_cumulative,0.5963302752293578,109
1978,metadata_cumulative,0.6382978723404256,47
1979,metadata_cumulative,0.7109375,128
1980,metadata_cumulative,0.5867768595041323,121
1981,metadata_cumulative,0.803921568627451,51
1982,metadata_cumulative,0.8585858585858586,99
1983,metadata_cumulative,0.8518518518518519,81
1984,metadata_cumulative,0.775,240
1985,metadata_cumulative,0.86,100
1986,metadata_cumulative,0.7454545454545455,55
1987,metadata_cumulative,0.905982905982906,117
1988,metadata_cumulative,0.9583333333333334,72
1989,metadata_cumulative,0.8397435897435898,156
1990,metadata_cumulative,0.8136645962732919,161
1991,metadata_cumulative,0.8372093023255814,86
1992,metadata_cumulative,0.8947368421052632,95
1993,metadata_cumulative,0.9111111111111111,45
1994,metadata_cumulative,0.8598130841121495,107
1995,metadata_cumulative,0.8046875,128
1996,metadata_cumulative,0.9047619047619048,84
1997,metadata_cumulative,0.9313725490196079,102
1998,metadata_cumulative,0.9291338582677166,127
1999,metadata_cumulative,0.8333333333333334,132
2000,metadata_cumulative,0.6413043478260869,92
2001,metadata_cumulative,0.9603174603174603,126
2002,metadata_cumulative,0.9166666666666666,144
2003,metadata_cumulative,0.8674698795180723,83
2004,metadata_cumulative,0.7843137254901961,102
2005,metadata_cumulative,0.8876404494382022,89
2006,metadata_cumulative,0.8571428571428571,14
2007,metadata_cumulative,0.9183673469387755,49
2008,metadata_cumulative,0.9354838709677419,62
2009,metadata_cumulative,0.9405940594059405,101
2010,metadata_cumulative,0.8571428571428571,105
2011,metadata_cumulative,0.6111111111111112,18
2012,metadata_cumulative,0.6153846153846154,26
2013,metadata_cumulative,0.7777777777777778,99
