year,method,accuracy,n_samples
1971,metadata_cumulative_drift_reset,0.9,40
1972,metadata_cumulative_drift_reset,0.8958333333333334,96
1973,metadata_cumulative_drift_reset,0.8571428571428571,63
1974,metadata_cumulative_drift_reset,0.6298701298701299,154
1975,metadata_cumulative_drift_reset,0.7987804878048781,164
1976,metadata_cumulative_drift_reset,0.7638888888888888,72
1977,metadata_cumulative_drift_reset,0.6146788990825688,109
1978,metadata_cumulative_drift_reset,0.9574468085106383,47
1979,metadata_cumulative_drift_reset,0.453125,128
1980,metadata_cumulative_drift_reset,0.6859504132231405,121
1981,metadata_cumulative_drift_reset,0.803921568627451,51
1982,metadata_cumulative_drift_reset,0.5656565656565656,99
1983,metadata_cumulative_drift_reset,0.7283950617283951,81
1984,metadata_cumulative_drift_reset,0.8416666666666667,240
1985,metadata_cumulative_drift_reset,0.59,100
1986,metadata_cumulative_drift_reset,0.6,55
1987,metadata_cumulative_drift_reset,0.9316239316239316,117
1988,metadata_cumulative_drift_reset,0.9722222222222222,72
1989,metadata_cumulative_drift_reset,0.7051282051282052,156
1990,metadata_cumulative_drift_reset,0.7577639751552795,161
1991,metadata_cumulative_drift_reset,0.7906976744186046,86
1992,metadata_cumulative_drift_reset,0.9157894736842105,95
1993,metadata_cumulative_drift_reset,0.9333333333333333,45
1994,metadata_cumulative_drift_reset,0.9065420560747663,107
1995,metadata_cumulative_drift_reset,1.0,128
1996,metadata_cumulative_drift_reset,0.8690476190476191,84
1997,metadata_cumulative_drift_reset,0.5196078431372549,102
1998,metadata_cumulative_drift_reset,0.9212598425196851,127
1999,metadata_cumulative_drift_reset,0.7727272727272727,132
2000,metadata_cumulative_drift_reset,0.532608695652174,92
2001,metadata_cumulative_drift_reset,0.8253968253968254,126
2002,metadata_cumulative_drift_reset,0.8611111111111112,144
2003,metadata_cumulative_drift_reset,0.6385542168674698,83
2004,metadata_cumulative_drift_reset,0.8431372549019608,102
2005,metadata_cumulative_drift_reset,0.8876404494382022,89
2006,metadata_cumulative_drift_reset,0.8571428571428571,14
2007,metadata_cumulative_drift_reset,0.9387755102040817,49
2008,metadata_cumulative_drift_reset,0.8387096774193549,62
2009,metadata_cumulative_drift_reset,0.8811881188118812,101
2010,metadata_cumulative_drift_reset,0.7714285714285715,105
2011,metadata_cumulative_drift_reset,0.7222222222222222,18
2012,metadata_cumulative_drift_reset,0.6923076923076923,26
2013,metadata_cumulative_drift_reset,0.898989898989899,99
