year,method,accuracy,n_samples
1971,metadata_episodic,0.825,40
1972,metadata_episodic,0.8125,96
1973,metadata_episodic,0.746031746031746,63
1974,metadata_episodic,0.7727272727272727,154
1975,metadata_episodic,0.7134146341463414,164
1976,metadata_episodic,0.7361111111111112,72
1977,metadata_episodic,0.7522935779816514,109
1978,metadata_episodic,0.7659574468085106,47
1979,metadata_episodic,0.7578125,128
1980,metadata_episodic,0.6859504132231405,121
1981,metadata_episodic,0.8823529411764706,51
1982,metadata_episodic,0.6565656565656566,99
1983,metadata_episodic,0.7530864197530864,81
1984,metadata_episodic,0.8583333333333333,240
1985,metadata_episodic,0.8,100
1986,metadata_episodic,0.8545454545454545,55
1987,metadata_episodic,0.8461538461538461,117
1988,metadata_episodic,0.8194444444444444,72
1989,metadata_episodic,0.8333333333333334,156
1990,metadata_episodic,0.8260869565217391,161
1991,metadata_episodic,0.872093023255814,86
1992,metadata_episodic,0.8947368421052632,95
1993,metadata_episodic,0.8666666666666667,45
1994,metadata_episodic,0.897196261682243,107
1995,metadata_episodic,0.9296875,128
1996,metadata_episodic,0.8928571428571429,84
1997,metadata_episodic,0.9117647058823529,102
1998,metadata_episodic,0.9291338582677166,127
1999,metadata_episodic,0.9318181818181818,132
2000,metadata_episodic,0.9021739130434783,92
2001,metadata_episodic,0.8968253968253969,126
2002,metadata_episodic,0.9444444444444444,144
2003,metadata_episodic,0.891566265060241,83
2004,metadata_episodic,0.8627450980392157,102
2005,metadata_episodic,0.8651685393258427,89
2006,metadata_episodic,0.8571428571428571,14
2007,metadata_episodic,0.9183673469387755,49
2008,metadata_episodic,0.8548387096774194,62
2009,metadata_episodic,0.9405940594059405,101
2010,metadata_episodic,0.8571428571428571,105
2011,metadata_episodic,0.6111111111111112,18
2012,metadata_episodic,0.8461538461538461,26
2013,metadata_episodic,0.9393939393939394,99
