year,method,accuracy,n_samples
1971,tent,0.925,40
1972,tent,0.8958333333333334,96
1973,tent,0.8571428571428571,63
1974,tent,0.7987012987012987,154
1975,tent,0.7317073170731707,164
1976,tent,0.8333333333333334,72
1977,tent,0.8440366972477065,109
1978,tent,0.8297872340425532,47
1979,tent,0.8125,128
1980,tent,0.7933884297520661,121
1981,tent,0.9607843137254902,51
1982,tent,0.7777777777777778,99
1983,tent,0.8765432098765432,81
1984,tent,0.5458333333333333,240
1985,tent,0.85,100
1986,tent,0.9090909090909091,55
1987,tent,0.8974358974358975,117
1988,tent,0.9305555555555556,72
1989,tent,0.7884615384615384,156
1990,tent,0.8260869565217391,161
1991,tent,0.9186046511627907,86
1992,tent,0.9578947368421052,95
1993,tent,0.9111111111111111,45
1994,tent,0.9626168224299065,107
1995,tent,0.96875,128
1996,tent,0.8928571428571429,84
1997,tent,0.9607843137254902,102
1998,tent,0.9448818897637795,127
1999,tent,0.9090909090909091,132
2000,tent,0.9239130434782609,92
2001,tent,0.9285714285714286,126
2002,tent,0.9305555555555556,144
2003,tent,0.9397590361445783,83
2004,tent,0.9019607843137255,102
2005,tent,0.8764044943820225,89
2006,tent,0.9285714285714286,14
2007,tent,0.9591836734693877,49
2008,tent,0.9193548387096774,62
2009,tent,0.9405940594059405,101
2010,tent,0.8952380952380953,105
2011,tent,0.8333333333333334,18
2012,tent,0.9230769230769231,26
2013,tent,0.9292929292929293,99
