trial_id,mean_validation_accuracy,param_lr,param_temporal_lr,param_weight_decay,param_shared_hidden_dim,val_accuracy_1930,val_accuracy_1931,val_accuracy_1932,val_accuracy_1933,val_accuracy_1934,val_accuracy_1935,val_accuracy_1936,val_accuracy_1937,val_accuracy_1938,val_accuracy_1939,val_accuracy_1940,val_accuracy_1941,val_accuracy_1942,val_accuracy_1943,val_accuracy_1944,val_accuracy_1945,val_accuracy_1946,val_accuracy_1947,val_accuracy_1948,val_accuracy_1949,val_accuracy_1950,val_accuracy_1951,val_accuracy_1952,val_accuracy_1953,val_accuracy_1954,val_accuracy_1955,val_accuracy_1956,val_accuracy_1957,val_accuracy_1958,val_accuracy_1959,val_accuracy_1960,val_accuracy_1961,val_accuracy_1962,val_accuracy_1963,val_accuracy_1964,val_accuracy_1965,val_accuracy_1966,val_accuracy_1967,val_accuracy_1968,val_accuracy_1969
m00,0.9880685649344544,0.0001,3e-05,0.0,512,0.9375,1.0,1.0,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,0.9285714285714286,0.9803921568627451,1.0,0.9459459459459459,1.0,1.0,1.0,0.9846153846153847,0.9795918367346939,1.0,1.0,0.9838709677419355
m01,0.9868620972762511,0.0001,0.0001,0.0001,512,1.0,1.0,0.92,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9629629629629629,1.0,0.9733333333333334,1.0,1.0,0.9285714285714286,1.0,1.0,0.972972972972973,1.0,1.0,0.96875,1.0,0.9795918367346939,0.9903846153846154,1.0,0.9838709677419355
m02,0.9880685649344544,0.0003,3e-05,0.0,512,0.9375,1.0,1.0,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9466666666666667,1.0,1.0,0.9285714285714286,0.9803921568627451,1.0,0.9459459459459459,1.0,1.0,1.0,0.9846153846153847,0.9795918367346939,1.0,1.0,0.9838709677419355
m03,0.9868620972762511,0.0003,0.0001,0.0,512,1.0,1.0,0.92,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9629629629629629,1.0,0.9733333333333334,1.0,1.0,0.9285714285714286,1.0,1.0,0.972972972972973,1.0,1.0,0.96875,1.0,0.9795918367346939,0.9903846153846154,1.0,0.9838709677419355
m04,0.9868620972762511,0.0003,0.0001,0.0001,512,1.0,1.0,0.92,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9629629629629629,1.0,0.9733333333333334,1.0,1.0,0.9285714285714286,1.0,1.0,0.972972972972973,1.0,1.0,0.96875,1.0,0.9795918367346939,0.9903846153846154,1.0,0.9838709677419355
m05,0.9719924699088237,0.0003,0.0003,0.0001,512,0.9375,1.0,0.92,0.8928571428571429,0.9090909090909091,0.94,0.875,0.9354838709677419,0.9512195121951219,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,0.9565217391304348,1.0,0.9629629629629629,1.0,0.96,1.0,1.0,0.9285714285714286,0.9215686274509803,1.0,1.0,0.9512195121951219,0.9615384615384616,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.9838709677419355
m06,0.9868620972762511,0.0006,0.0001,0.0,512,1.0,1.0,0.92,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9629629629629629,1.0,0.9733333333333334,1.0,1.0,0.9285714285714286,1.0,1.0,0.972972972972973,1.0,1.0,0.96875,1.0,0.9795918367346939,0.9903846153846154,1.0,0.9838709677419355
m07,0.9719924699088237,0.0006,0.0003,0.0001,512,0.9375,1.0,0.92,0.8928571428571429,0.9090909090909091,0.94,0.875,0.9354838709677419,0.9512195121951219,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,0.9565217391304348,1.0,0.9629629629629629,1.0,0.96,1.0,1.0,0.9285714285714286,0.9215686274509803,1.0,1.0,0.9512195121951219,0.9615384615384616,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.9838709677419355
m08,0.9868620972762511,0.001,0.0001,0.0,512,1.0,1.0,0.92,0.8928571428571429,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9629629629629629,1.0,0.9733333333333334,1.0,1.0,0.9285714285714286,1.0,1.0,0.972972972972973,1.0,1.0,0.96875,1.0,0.9795918367346939,0.9903846153846154,1.0,0.9838709677419355
m09,0.9719924699088237,0.001,0.0003,0.0001,512,0.9375,1.0,0.92,0.8928571428571429,0.9090909090909091,0.94,0.875,0.9354838709677419,0.9512195121951219,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,0.9565217391304348,1.0,0.9629629629629629,1.0,0.96,1.0,1.0,0.9285714285714286,0.9215686274509803,1.0,1.0,0.9512195121951219,0.9615384615384616,1.0,0.9846153846153847,1.0,1.0,0.9705882352941176,0.9838709677419355
m10,0.9760055817148062,0.0003,0.0001,0.0001,1024,1.0,1.0,0.88,0.8928571428571429,0.9696969696969697,0.94,0.875,0.9032258064516129,0.975609756097561,1.0,0.975609756097561,1.0,1.0,1.0,0.9651162790697675,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,0.9565217391304348,1.0,1.0,1.0,0.9866666666666667,1.0,1.0,0.9285714285714286,0.9803921568627451,1.0,1.0,1.0,0.9615384615384616,0.96875,0.9846153846153847,0.9795918367346939,1.0,1.0,0.967741935483871
m11,0.9760055817148062,0.0006,0.0001,0.0001,1024,1.0,1.0,0.88,0.8928571428571429,0.9696969696969697,0.94,0.875,0.9032258064516129,0.975609756097561,1.0,0.975609756097561,1.0,1.0,1.0,0.9651162790697675,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,0.9565217391304348,1.0,1.0,1.0,0.9866666666666667,1.0,1.0,0.9285714285714286,0.9803921568627451,1.0,1.0,1.0,0.9615384615384616,0.96875,0.9846153846153847,0.9795918367346939,1.0,1.0,0.967741935483871
m12,0.981098433446454,0.0003,0.0003,0.0001,1024,1.0,1.0,0.96,0.9285714285714286,0.9696969696969697,0.94,0.875,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,0.9880952380952381,1.0,1.0,0.975609756097561,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,0.9583333333333334,0.9285714285714286,0.9607843137254902,1.0,1.0,1.0,0.9615384615384616,0.96875,0.9846153846153847,0.9795918367346939,0.9903846153846154,0.9705882352941176,1.0
m13,0.9760055817148062,0.0001,0.0001,0.0001,1024,1.0,1.0,0.88,0.8928571428571429,0.9696969696969697,0.94,0.875,0.9032258064516129,0.975609756097561,1.0,0.975609756097561,1.0,1.0,1.0,0.9651162790697675,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,0.9565217391304348,1.0,1.0,1.0,0.9866666666666667,1.0,1.0,0.9285714285714286,0.9803921568627451,1.0,1.0,1.0,0.9615384615384616,0.96875,0.9846153846153847,0.9795918367346939,1.0,1.0,0.967741935483871
m14,0.9871618624370261,0.0003,0.0001,0.0001,256,0.9375,1.0,1.0,0.9285714285714286,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,0.9259259259259259,1.0,0.9733333333333334,1.0,1.0,0.9285714285714286,0.9803921568627451,1.0,1.0,1.0,1.0,0.9375,0.9846153846153847,0.9795918367346939,1.0,1.0,0.967741935483871
